SensorID,Radiation,PositionX,PositionY,PositionZ
186,4.23203e-16,183.333,893.333,107.333
187,6.01449e-16,183.333,893.333,143.111
188,5.93214e-16,183.333,893.333,178.889
189,3.99547e-16,183.333,893.333,214.667
190,4.74607e-16,183.333,893.333,250.444
191,3.87774e-16,183.333,893.333,286.222
193,2.24679e-17,244.444,111.667,71.5556
194,1.76782e-17,244.444,111.667,107.333
195,2.06995e-17,244.444,111.667,143.111
196,4.93011e-17,244.444,111.667,178.889
197,5.42576e-17,244.444,111.667,214.667
198,2.17327e-17,244.444,111.667,250.444
199,3.09892e-17,244.444,111.667,286.222
201,1.43896e-17,244.444,223.333,71.5556
202,7.2307e-17,244.444,223.333,107.333
203,2.63968e-17,244.444,223.333,143.111
204,3.16735e-17,244.444,223.333,178.889
205,4.18698e-17,244.444,223.333,214.667
206,2.3548e-17,244.444,223.333,250.444
207,4.77517e-17,244.444,223.333,286.222
209,8.78837e-17,244.444,335,71.5556
210,3.46226e-17,244.444,335,107.333
211,7.43672e-17,244.444,335,143.111
212,6.28753e-17,244.444,335,178.889
213,6.55465e-17,244.444,335,214.667
214,8.99289e-17,244.444,335,250.444
215,2.26798e-17,244.444,335,286.222
217,5.13848e-17,244.444,446.667,71.5556
218,8.40913e-17,244.444,446.667,107.333
219,3.33938e-09,244.444,446.667,143.111
220,4.37249e-09,244.444,446.667,178.889
221,4.91564e-17,244.444,446.667,214.667
222,1.10578e-16,244.444,446.667,250.444
223,3.44748e-17,244.444,446.667,286.222
225,3.2141e-17,244.444,558.333,71.5556
226,1.41094e-16,244.444,558.333,107.333
227,2.38224e-09,244.444,558.333,143.111
228,2.43027e-09,244.444,558.333,178.889
229,1.8461e-16,244.444,558.333,214.667
230,1.25134e-16,244.444,558.333,250.444
231,1.24669e-16,244.444,558.333,286.222
233,2.19296e-16,244.444,670,71.5556
234,1.41175e-16,244.444,670,107.333
235,1.54051e-09,244.444,670,143.111
236,1.60733e-09,244.444,670,178.889
237,2.96607e-10,244.444,670,214.667
238,3.4234e-16,244.444,670,250.444
239,2.04067e-16,244.444,670,286.222
241,3.3991e-16,244.444,781.667,71.5556
242,4.49715e-10,244.444,781.667,107.333
243,9.37707e-10,244.444,781.667,143.111
244,1.10994e-09,244.444,781.667,178.889
245,8.80288e-10,244.444,781.667,214.667
